,$,def,id,(,),{,},int,",",;,=,num,print,return,if,else,<,<=,>,>=,==,!=,=+,-,*,/
S,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,,,S ::= MAIN $,,S ::= MAIN $,,S ::= MAIN $,,,S ::= MAIN $,S ::= MAIN $,S ::= MAIN $,,,,,,,,,,,
MAIN,MAIN ::= ε,MAIN ::= FLIST,MAIN ::= STMT,,,MAIN ::= STMT,,MAIN ::= STMT,,MAIN ::= STMT,,,MAIN ::= STMT,MAIN ::= STMT,MAIN ::= STMT,,,,,,,,,,,
FLIST,,FLIST ::= FDEF FLIST_LINHA,,,,,,,,,,,,,,,,,,,,,,,,
FLIST_LINHA,FLIST_LINHA ::= ε,FLIST_LINHA ::= FDEF FLIST_LINHA,,,,,,,,,,,,,,,,,,,,,,,,
FDEF,,FDEF ::= def id ( PARLIST ) { STMTLIST },,,,,,,,,,,,,,,,,,,,,,,,
PARLIST,,,,,PARLIST ::= ε,,,PARLIST ::= int id PARLIST_LINHA,,,,,,,,,,,,,,,,,,
PARLIST_LINHA,,,,,PARLIST_LINHA ::= ε,,,,"PARLIST_LINHA ::= , PARLIST",,,,,,,,,,,,,,,,,
STMTLIST,,,STMTLIST ::= STMT STMTLIST_LINHA,,,STMTLIST ::= STMT STMTLIST_LINHA,,STMTLIST ::= STMT STMTLIST_LINHA,,STMTLIST ::= STMT STMTLIST_LINHA,,,STMTLIST ::= STMT STMTLIST_LINHA,STMTLIST ::= STMT STMTLIST_LINHA,STMTLIST ::= STMT STMTLIST_LINHA,,,,,,,,,,,
STMTLIST_LINHA,,,STMTLIST_LINHA ::= STMT STMTLIST_LINHA,,,STMTLIST_LINHA ::= STMT STMTLIST_LINHA,STMTLIST_LINHA ::= ε,STMTLIST_LINHA ::= STMT STMTLIST_LINHA,,STMTLIST_LINHA ::= STMT STMTLIST_LINHA,,,STMTLIST_LINHA ::= STMT STMTLIST_LINHA,STMTLIST_LINHA ::= STMT STMTLIST_LINHA,STMTLIST_LINHA ::= STMT STMTLIST_LINHA,,,,,,,,,,,
STMT,,,STMT ::= ATRIBST ;,,,STMT ::= { STMTLIST },,STMT ::= int VARLIST ;,,STMT ::= ;,,,STMT ::= PRINTST ;,STMT ::= RETURNST ;,STMT ::= IFSTMT,,,,,,,,,,,
VARLIST,,,VARLIST ::= id VARLIST_LINHA,,,,,,,,,,,,,,,,,,,,,,,
VARLIST_LINHA,,,,,,,,,"VARLIST_LINHA ::= , VARLIST",VARLIST_LINHA ::= ε,,,,,,,,,,,,,,,,
ATRIBST,,,ATRIBST ::= id = ATRIBST_CONTENT,,,,,,,,,,,,,,,,,,,,,,,
ATRIBST_CONTENT,,,ATRIBST_CONTENT ::= id ATRIBST_ID,ATRIBST_CONTENT ::= ( TERM NUMEXPR_LINHA ) TERM_LINHA NUMEXPR_LINHA EXPR_LINHA,,,,,,,,ATRIBST_CONTENT ::= num TERM_LINHA NUMEXPR_LINHA EXPR_LINHA,,,,,,,,,,,,,,
